Name,Value,Byte Offset,Type
_child43,"0, 28800, 45184, 48784",1760,int4
_child44,"0.28772, 0.28772, 1.00, 0.00",1776,float4
_child45,"1.00, 1.00, 1.00, 1.00",1792,float4
_child46,"7.00, 0.00, 0.00, 0.00",1808,float4
_child47,"0.25, 0.76281, 5.96046E-08, 1.00",1824,float4
_child48,"0.22838, 0.53238, 0.22838, 0.53272",1840,float4
_child49,"-710.11267, 235.17313, -1150.84998, 0.35",1856,float4
_child50,"-712.27911, 234.89359, -1148.77478, 0.35",1872,float4
_child51,"-709.78699, 235.2303, -1153.83228, 0.35",1888,float4
_child52,"-712.80371, 234.95735, -1152.17603, 0.35",1904,float4
_child53,"1.74, 1.66, 1.66, 1.80",1920,float4
_child54,,1936,float4[4]
_child54[0],"0.00, 0.00, 0.00, 40.00",1936,float4
_child54[1],"0.00, 0.00, 0.00, 0.00",1952,float4
_child54[2],"0.00, 0.00, 0.00, 0.00",1968,float4
_child54[3],"0.00, 0.00, 0.00, 0.00",1984,float4
_child55,,2000,float4[4]
_child55[0],"0.00, 0.00, 0.00, 0.00",2000,float4
_child55[1],"0.00, 0.00, 0.00, 0.00",2016,float4
_child55[2],"0.00, 0.00, 0.00, 0.00",2032,float4
_child55[3],"0.00, 0.00, 0.00, 0.00",2048,float4
_child56,,2064,float4[4]
_child56[0],"0.00, 1.00, 0.00, 0.00",2064,float4
_child56[1],"0.00, 0.00, 0.00, 0.00",2080,float4
_child56[2],"0.00, 0.00, 0.00, 0.00",2096,float4
_child56[3],"0.00, 0.00, 0.00, 0.00",2112,float4
_child57,,2128,float4[4]
_child57[0],"1.00, 0.00667, 0.00, 0.00",2128,float4
_child57[1],"0.00, 0.00, 0.00, 0.00",2144,float4
_child57[2],"0.00, 0.00, 0.00, 0.00",2160,float4
_child57[3],"0.00, 0.00, 0.00, 0.00",2176,float4
_child58,"1.00, 0.00, 0.00, 0.00",2192,float4
_child59,"0.25, 0.76247, 5.96046E-08, 1.00",2208,float4
_child60,,2224,float4[4]
_child60[0],"0.00, 0.00, 0.00, 40.00",2224,float4
_child60[1],"0.00, 0.00, 0.00, 0.00",2240,float4
_child60[2],"0.00, 0.00, 0.00, 0.00",2256,float4
_child60[3],"0.00, 0.00, 0.00, 0.00",2272,float4
_child61,,2288,float4[4]
_child61[0],"0.00, 0.00, 0.00, 0.00",2288,float4
_child61[1],"0.00, 0.00, 0.00, 0.00",2304,float4
_child61[2],"0.00, 0.00, 0.00, 0.00",2320,float4
_child61[3],"0.00, 0.00, 0.00, 0.00",2336,float4
_child62,,2352,float4[4]
_child62[0],"1.00, 0.00667, 0.00, 0.00",2352,float4
_child62[1],"0.00, 0.00, 0.00, 0.00",2368,float4
_child62[2],"0.00, 0.00, 0.00, 0.00",2384,float4
_child62[3],"0.00, 0.00, 0.00, 0.00",2400,float4
_child63,"-710.125, 234.17313, -1150.875, 0.00",2416,float4
_child64,"-710.125, 234.17313, -1150.875, 0.00",2432,float4
_child65,"0.00, 0.00, 0.00, 0.00",2448,float4
_child66,"0.00, 0.00, 1.00, 0.001",2464,float4
_child67,"1.00000E-05, 1.00000E-05, 1.00000E-05, 0.00",2480,float4
_child68,"0.00, 0.00, 0.00, -1.00",2496,float4
_child69,"0.00, 0.00, 0.00, 0.00",2512,float4
_child70,"0.00, 0.00, 0.00, -65535.00",2528,float4
_child71,"0.00, 0.00, 0.00, 0.00",2544,float4
_child72,"0.00, 0.00, 0.00, 0.00",2560,float4
_child73,"0.00, 0.00, 0.00, 1.00",2576,float4
